"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Folder Configuration","0","","1","0","Display Name and Description","0"
"0","","0","","45","0","","0"
"0","Freestyle Project Configuration","0","","4","0","Set up Environment","0"
"0","Manage Jenkins","0","","8","0","Display System Information","0"
"0","Freestyle Project Configuration","0","","4","0","Enable or Disable the Project","0"
"0","New Item","0","","1","0","Create a new item","0"
"0","Freestyle Project Configuration","0","","10","0","Configure SCM","0"
"0","New Item","0","","6","0","Copy from","0"
"0","Freestyle Project Configuration","0","","4","0","Project Description","0"
"0","Multi-configuration project Configuration","0","","2","0","Enable or Disable the Project","0"
"0","New Item","0","","2","0","Folder","0"
"0","Manage Jenkins","0","","2","0","Load Statistics","0"
"0","Dashboard","0","","1","0","View All Jobs","0"
